,CustomerID,pfm_spent,fm_nb_orders,fm_nb_items,fm_total_spent,fm_used_coupon,first_order_month,fm_purchased_accessory,first_item_size,accepts_marketing,wealthy_zip,region,first_item_price_range
7923,Anonymous10429,0.0,1,2,36.9,1,8,1,No size,0,0,S,low
7924,Anonymous10465,0.0,1,1,15.0,0,8,1,No size,0,1,W,low
7925,Anonymous10525,0.0,1,2,92.0,0,2,0,M,0,0,S,medium
7926,Anonymous10508,0.0,1,1,15.0,0,10,1,No size,0,0,S,low
7927,Anonymous10512,0.0,1,1,15.0,0,8,1,No size,0,0,NE,low
7928,Anonymous10516,0.0,1,1,45.0,0,2,0,M,0,0,NE,high
7929,Anonymous10523,0.0,1,1,25.0,0,8,1,No size,1,1,W,low
7930,Anonymous10528,0.0,1,1,15.0,0,7,0,L,1,1,NE,low
7931,Anonymous10530,0.0,1,1,40.0,0,7,0,L,1,0,W,medium
7932,Anonymous10533,0.0,1,2,98.0,0,1,0,XL,0,0,S,high
7933,Anonymous10542,0.0,1,3,120.0,0,11,0,S,0,0,S,medium
7934,Anonymous10543,0.0,1,1,25.0,0,5,1,No size,1,0,W,low
7935,Anonymous10544,0.0,1,3,108.9,1,2,0,S,0,1,NE,high
7936,Anonymous10550,0.0,1,1,42.0,0,7,0,S,0,0,NE,medium
7937,Anonymous10501,0.0,1,2,63.75,1,7,0,L,0,0,W,medium
7938,Anonymous10498,0.0,1,1,50.0,0,2,0,L,0,0,MW,high
7939,Anonymous10466,0.0,1,1,38.25,1,6,0,L,1,1,S,medium
7940,Anonymous1048,0.0,1,6,286.0,0,5,0,S,0,0,NE,high
7941,Anonymous10468,0.0,1,1,50.0,0,3,0,XL,1,0,NE,high
7942,Anonymous10469,0.0,1,1,25.0,0,8,1,No size,0,0,S,low
7943,Anonymous1047,0.0,1,1,50.0,0,12,0,M,0,0,S,high
7944,Anonymous10473,0.0,1,1,47.0,0,3,0,XL,0,0,MW,high
7945,Anonymous10475,0.0,1,1,36.0,1,1,0,XL,0,0,MW,high
7946,Anonymous10476,0.0,1,1,48.0,0,7,0,XS,0,0,S,high
7947,Anonymous10478,0.0,1,1,45.0,0,8,0,XL,0,1,W,high
7948,Anonymous10479,0.0,1,6,132.8,1,11,0,M,1,0,S,low
7949,Anonymous10486,0.0,1,2,100.0,0,12,0,M,0,0,S,high
7950,Anonymous10497,0.0,1,1,50.0,0,12,0,S,0,1,NE,high
7951,Anonymous10488,0.0,1,1,22.5,1,3,1,No size,0,0,MW,low
7952,Anonymous1049,0.0,1,2,96.0,0,7,0,L,0,0,S,high
7953,Anonymous10490,0.0,1,1,50.0,0,5,0,S,1,0,MW,high
7954,Anonymous10496,0.0,1,1,35.0,0,7,0,S,0,0,S,medium
7955,Anonymous10395,0.0,1,1,50.0,0,6,0,M,0,0,MW,high
7956,Anonymous10394,0.0,1,1,37.0,0,8,0,S,0,0,S,medium
